"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 06 00:12:43 UTC 2025","Sat Sep 06 00:12:43 UTC 2025","81","Book API Tests","","","","","DELETE Book",""
"passed","Sat Sep 06 00:12:43 UTC 2025","Sat Sep 06 00:12:43 UTC 2025","79","Book API Tests","","","","","PUT Update Author",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","75","Book API Tests","","","","","GET Book by Id",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","61","Book API Tests","","","","","GET Authors",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","79","Book API Tests","","","","","PUT Update Author",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","60","Book API Tests","","","","","GET Author Not Found",""
"passed","Sat Sep 06 00:12:43 UTC 2025","Sat Sep 06 00:12:43 UTC 2025","80","Book API Tests","","","","","DELETE Author",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","82","Book API Tests","","","","","GET Author by Id",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","59","Book API Tests","","","","","DELETE Author",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","88","Book API Tests","","","","","GET Author by Id",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","83","Book API Tests","","","","","PUT Update Author",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","63","Book API Tests","","","","","DELETE Book",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:52 UTC 2025","81","Book API Tests","","","","","PUT Update Book",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","81","Book API Tests","","","","","POST Create Author",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","138","Book API Tests","","","","","GET books",""
"passed","Sat Sep 06 00:12:43 UTC 2025","Sat Sep 06 00:12:43 UTC 2025","86","Book API Tests","","","","","PUT Update Book",""
"passed","Sat Sep 06 00:12:43 UTC 2025","Sat Sep 06 00:12:43 UTC 2025","67","Book API Tests","","","","","GET Book by Id",""
"passed","Sat Sep 06 00:18:52 UTC 2025","Sat Sep 06 00:18:52 UTC 2025","57","Book API Tests","","","","","GET Book Not Found",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","116","Book API Tests","","","","","POST Create Book",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","73","Book API Tests","","","","","GET Book Not Found",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","59","Book API Tests","","","","","DELETE Author",""
"passed","Sat Sep 06 00:12:42 UTC 2025","Sat Sep 06 00:12:42 UTC 2025","91","Book API Tests","","","","","GET Author by Id",""
"passed","Fri Sep 05 04:10:50 UTC 2025","Fri Sep 05 04:10:50 UTC 2025","74","Book API Tests","","","","","PUT Update Book",""
"passed","Sat Sep 06 00:18:51 UTC 2025","Sat Sep 06 00:18:51 UTC 2025","84","Book API Tests","","","","","GET Book by Id",""
"passed","Sat Sep 06 00:18:52 UTC 2025","Sat Sep 06 00:18:52 UTC 2025","65","Book API Tests","","","","","DELETE Book",""
